,Company,sector,annual_return_log,Std,Skewness,Kurtosis
220,HAS,Consumer Discretionary,-0.07796097118952328,0.5674479694245612,-0.5484732740151257,9.60530405409815
221,HCA,Health Care,0.11690236643304644,0.63003764862978,-0.047673665781916376,6.395540271712688
222,PEAK,Real Estate,-0.18388728221745124,0.6175423112348996,-1.2134449299021914,9.648619215715815
223,HSIC,Health Care,-0.05187577491124766,0.4594865082705756,-0.15179715568191657,1.7428980596356203
224,HSY,Consumer Staples,0.0004869081854213836,0.3935732319108138,-1.797414274965604,15.531255767971086
225,HES,Energy,-0.22003700875884308,0.8475511200960623,-1.4574970737896176,14.956086860947032
226,HPE,Information Technology,-0.21919749430975843,0.5731137901440196,-0.5833342538990997,3.720224427708457
227,HLT,Consumer Discretionary,-0.06243514737804433,0.5313264481104587,-0.10260294725736381,3.045774051174144
228,HFC,Energy,-0.6340629804971416,0.8182979306683581,0.5796442423787076,3.2829735500727555
229,HOLX,Health Care,0.35627312454872034,0.4931673574469419,-1.7763817396301573,13.107271387264294
230,HD,Consumer Discretionary,0.18929173425633564,0.46223682064207894,-1.8763120775520101,16.60021184956471
231,HON,Industrials,0.18778568313396723,0.46948851264794345,-0.08998129062332007,4.406264836434622
232,HRL,Consumer Staples,0.027032381542677918,0.30777508172645285,0.9751383180015177,10.072235909487514
233,HST,Real Estate,-0.24545527656436472,0.7000807414671393,0.9325926045561852,6.295763129067998
234,HWM,Industrials,-0.11285129014113542,0.796886900301328,-0.028099343455787802,3.884740443252891
235,HPQ,Information Technology,0.13033522323691588,0.5749856197361218,-0.8187082181506431,5.60698624803875
236,HUM,Health Care,0.07545207093208162,0.5218607228478829,0.23353090354020845,5.843261685926613
237,HBAN,Financials,-0.11943342286744094,0.6783200226632389,0.034572520361792904,1.881524389119626
238,HII,Industrials,-0.5431947533889223,0.47083059878975464,-0.36151203364434253,2.6687544657946853
239,IEX,Industrials,0.14619674508965602,0.40252502042651056,-0.8922943225842803,4.425257027976574
240,IDXX,Health Care,0.5834868162895172,0.4284779602139091,-0.3901037936395136,3.5355994423312262
241,INFO,Industrials,0.10091752404513075,0.460566723267296,1.8450328954894128,25.615854210727527
242,ITW,Industrials,0.16891677145809544,0.44090314334795494,0.19931594777865252,6.944670925039645
243,ILMN,Health Care,0.11196077720220295,0.47989711965081056,-0.7380620428628324,2.4056799956356327
244,INCY,Health Care,0.11074326654694086,0.4236510436216516,0.27521992165406334,0.5450485701134267
245,IR,Industrials,0.3418532931630225,0.5310739611711475,-0.7453314579842876,5.693628248011331
246,INTC,Information Technology,-0.2677400173165609,0.5580730768313168,-0.8148493186396903,9.895031030810344
247,ICE,Financials,0.17636812005909633,0.39867872028394674,-1.0047214336390065,6.797233075570313
248,IBM,Information Technology,-0.0756755750782538,0.4271545003984963,-0.48601271713531574,4.449146252110804
249,IP,Materials,0.16862022876200927,0.5358845138198277,0.07555632166899003,3.256538077010422
250,IPG,Communication Services,0.0266285293368416,0.5952009447609311,-0.2713148627193798,3.1308395701448104
251,IFF,Materials,-0.160334082022764,0.41562636240711204,0.04984932403799263,3.156158183442609
252,INTU,Information Technology,0.3060632982138522,0.4872319324182276,0.22881255374324908,7.873852638660628
253,ISRG,Health Care,0.2913855291102215,0.47158325681238067,-0.19620979739551414,6.78998034353401
254,IVZ,Financials,0.013811157958195963,0.7851960648631743,-0.8503879049656803,4.000993401753551
255,IPGP,Information Technology,0.43231358695870675,0.5348308448997394,0.8674220039690795,6.372210640827635
256,IQV,Health Care,0.10341839162498793,0.5187405511226008,-0.7020490856709862,7.69978513643443
257,IRM,Real Estate,0.002418401179258327,0.466946137991296,-0.6706733967086547,6.4156253574281
258,JKHY,Information Technology,0.07087792957859256,0.4129864955701369,-0.6066621185198023,5.1304691288013
259,J,Industrials,0.13739206003725754,0.444273998972166,-0.49495037945245834,3.794374065611934
260,JBHT,Industrials,0.2226967587919854,0.42568471477441944,-0.5836917926415338,7.173231514168057
261,SJM,Consumer Staples,0.09764322554519683,0.33695820009410404,0.2709564426298869,4.82627039481558
262,JNJ,Health Care,0.05648128305020932,0.3134644188306478,0.1773334652434747,4.509648242438543
263,JCI,Industrials,0.15306888035633756,0.4453739210549598,-0.9050158118213871,3.7257747391804275
264,JPM,Financials,-0.07020721875630866,0.5631171813799528,-0.002461259170553913,5.220356145482208
265,JNPR,Information Technology,-0.05670318542013601,0.3820598458468753,-0.17521414254517587,3.875038553748227
266,KSU,Industrials,0.20794612172334626,0.5069055449332613,0.07320588978202357,10.343690338498169
267,K,Consumer Staples,-0.11417759952902495,0.3295280204565971,-0.5862407160217351,9.775371661895594
268,KEY,Financials,-0.17115815140251786,0.7956965658116468,-0.5596599436367787,5.207878097251948
269,KEYS,Information Technology,0.20656757874142975,0.4538024138578823,0.038374238430583546,3.5178483246715917
270,KMB,Consumer Staples,-0.04968667755362294,0.32325308511029677,-0.0007343188054426087,5.91013759185525
271,KIM,Real Estate,-0.32959707845068154,0.7801547758845838,0.2875537046947082,6.062998047250858
